Total Reviews,Product Url,ASIN,Title,Author,Format,Publication Date,Publisher
0,https://www.amazon.com/dp/1734538236,1734538236,Total Relationship Marketing: Achieving Proper Customer Relevance,Jeen Su Lim,Kindle,by,
0,https://www.amazon.com/dp/0824889703,0824889703,Divorce in South Korea (Hawai‘i Studies on Korea),Yean-Ju Lee,Kindle,|,
4,https://www.amazon.com/dp/1736225103,1736225103,"FROM DA BOTTOMS 2 DA TOP: “It’s Not Where You Start That Defines You, You’re Defined By What You Make Of It.”",MARLO DA Motivator,Paperback,by,
1,https://www.amazon.com/dp/0985963387,0985963387,Embracing Hope in the Midst of Stormy Times,Heather D. Wright,Kindle,by,
1,https://www.amazon.com/dp/1735981931,1735981931,My Pink Stilettos Magazine Winter Edition 2021,Dr Larita Rice-Barnes,Paperback,by,
2,https://www.amazon.com/dp/1990268099,1990268099,Self-esteem Workbook: A Practical Personal Development Guide to Building Self-esteem (The Life-changing Guide for Building Self-worth),Charles Bartz,Paperback,by,
2,https://www.amazon.com/dp/1716169151,1716169151,TEARS OF A BARREN WOMB,Essie N. Sibanda,Kindle,by,
0,https://www.amazon.com/dp/1665584793,1665584793,Happiness in the 21st Century,Manuel Sierra Jimenez,Kindle,by,
0,https://www.amazon.com/dp/B08VFVXCSK,B08VFVXCSK,"Mediterranean Diet Cookbook: Easy, Healthy and Delicious Mediterranean Diet Recipes for Weight Loss",Michelle Y. Doyle,Kindle,by,
1,https://www.amazon.com/dp/B08VFM3874,B08VFM3874,"CANDIDA COOKBOOK: 40+Stew, Roast and Casserole recipes for a healthy and balanced Candida diet",Njoku Caleb,Kindle,by,
0,https://www.amazon.com/dp/1801692521,1801692521,Ketogenic Diet And Intermittent Fasting: The ultimate beginners guide to know your food needs with a low-carb diet for a perfect mind-body balance and ... the Anti-Aging Process (Healthy Living),Kyndra Backer,Paperback,by,
1,https://www.amazon.com/dp/1665580089,1665580089,Cooking Book Indian Spice Trade an Anglo-asian Culinary Experience,Ismat Amin,Kindle,by,
2,https://www.amazon.com/dp/B08VCL59FT,B08VCL59FT,Turkish Cookbook: Discover Over 77 Traditional Recipes From Turkey And Balkans,Adele Tyler,Kindle,by,
1,https://www.amazon.com/dp/1774850044,1774850044,Acid Reflux Diet: How to Adopt an Effettive Acid Reflux Diet to Stop Your Heartburn Problems (Paleo and Gluten-free Recipes to Manage and Relief Reflux),David Montgomery,Paperback,by,
0,https://www.amazon.com/dp/B08VCL18PZ,B08VCL18PZ,Clean Eating Cookbook: A Healthy Cookbook With Delicious Whole-Food Recipes For Eating Clean,Jeff Dea McMurray,Kindle,by,
0,https://www.amazon.com/dp/1802440348,1802440348,Plant Based Diet Cookbook For Beginners: Healthy & Natural Recipes for Smart People on A Budget,George Hall,Hardcover,by,
0,https://www.amazon.com/dp/1801690960,1801690960,Beef Cookbook 2021: +300 Tasty Beef Lover Recipes for Beginners Ideal for Everyday Meals,Barry Abbott,Hardcover,by,
5,https://www.amazon.com/dp/1990059988,1990059988,"The Ninja Foodi Pressure Cooker Cookbook: Your Expert Guide to Air Fry, Pressure Cook and Multi-Cooker Recipes for Living and Eating Well Every Day:: ... Recipes for Living and Eating Well Every Day",Keith Moore,Paperback,by,
0,https://www.amazon.com/dp/9389679389,9389679389,Paper-Bag Cookery: With Nearly Two Hundred Recipes,Vera Countess Serkoff,Paperback,by,
3,https://www.amazon.com/dp/B08VCYF5MG,B08VCYF5MG,Mexican And Spanish Cookbook: 3 Books In 1: Learn How To Cook Tapas Tacos Burritos And More With Over 250 Recipes From Spain And Mexico,Adele Tyler,Kindle,by,
0,https://www.amazon.com/dp/B08VCYD92S,B08VCYD92S,The Ultimate Dash Diet Cookbook: Over 50 Wholesome Recipes for Flavorful Low-Sodium Meals. The Complete Dash Diet Cooking Guide for Beginners to Lower Blood Pressure and Improve Your Health,Laura Summers MD,Kindle,by,
1,https://www.amazon.com/dp/9389659930,9389659930,The Still-Room: By Mrs. Charles Roundell (Julia Anne Elizabeth Tollemache Roundell) And Harry Roberts,Mrs Charles Roundell,Hardcover,by,
0,https://www.amazon.com/dp/3631842457,3631842457,Cultural Heritage and Tourism,Türkmen,Kindle,by,
0,https://www.amazon.com/dp/1990059996,1990059996,Ninja Foodi Cookbook: The Complete Ninja Foodi Pressure Cooker Cookbook with Fast and Flavorful Recipes for Weight Loss & Healthy Life: The Complete ... Recipes for Weight Loss & Healthy Life,Jen Andreev,Paperback,by,
0,https://www.amazon.com/dp/B08VBH5PKK,B08VBH5PKK,"PROFESSIONAL ITALIAN AND EUROPEAN GOURMET PASTRY: a complete guide of professional and tasty pastry recipes resulting from the experience of working ... European restaurants, all in just 100 pages",Massimo Parrucci,Paperback,by,
0,https://www.amazon.com/dp/B08VCJ8FRX,B08VCJ8FRX,Easy Wok Recipes From Thailand: 3 Books In 1: Learn How To Cook Homemade Stir Fry Thai DIshes,Adele Tyler,Kindle,by,
2,https://www.amazon.com/dp/B08TZHGN5Z,B08TZHGN5Z,"SIMPLE COCONUT CAKE RECIPES: Your Perfect guide to making the most amazing fluffy, spongy and moist Coconut Cake that will wow everybody in the room",Lisa Maser,Kindle,by,
